COMPANYNAME,POLICYCODE,LINEOFBUSINESS,INCEPTIONDATE,EXPIRYDATE,COMPANYSHAREOFRISK,LATITUDE,LONGITUDE,POSTALCODE,PROVINCE,COUNTRY,BUILDINGSVALUE,APPURTENANTVALUE,CONTENTSVALUE,TIMEELEMENTVALUE,BUILDINGSLIMIT,APPURTENANTLIMIT,CONTENTSLIMIT,TIMEELEMENTLIMIT,BUILDINGSDEDUCTIBLE,APPURTENANTDEDUCTIBLE,CONTENTSDEDUCTIBLE,TIMEELEMENTDEDUCTIBLE,EARTHQUAKEDEDUCTIBLE,EARTHQUAKE,OCCUPANCY,NUMBEROFSTORIES,YEARBUILT,LATITUDE_2,LONGITUDE_2,PROVINCE_2,NUMBEROFSTORIES_2,YEARBUILT_2,DZ_FLAG,All Inclusive Water Protection Limit,All Inclusive Water Protection Deductible,Sewer Backup Indicator,Sewer Backup Limit,Sewer Backup Deductible,Flood Indicator,Flood Limit,Flood Deductible,Surface Water Indicator,Surface Water Limit,Surface Water Deductible,Ground Water Indicator,Ground Water Limit,Ground Water Deductible,Sewer and Water Service Line Indicator,Sewer and Water Service Line Limit,Sewer and Water Service Line Deductible
Company ABC,8U2KIG0Q5ASWM,Residential,01/07/2023,01/07/2024,1,44.08298,-76.96252,K0H1G0,ON,CA,360000,0,0,0,360000,0,0,0,500,0,0,0,,N,30,0,1990,44.08298,-76.96252,ON,0,1990,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,87900W1Y9C2AH,Residential,01/07/2023,01/07/2024,1,44.08298,-76.96252,K0H1G0,ON,CA,0,0,20000,0,0,0,20000,0,0,0,500,0,,N,30,,,44.08298,-76.96252,ON,0,1990,0,-,-,N,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
Company ABC,MNBCEU9IHC8W,Residential,01/04/2023,01/04/2024,1,44.15829,-76.74409,K0H2S0,ON,CA,420000,42000,315000,84000,420000,42000,315000,84000,1000,1000,1000,1000,,N,30,1,2001,44.15829,-76.74409,ON,1,2001,1,-,-,N,-,-,Y,-,-,N,-,-,N,-,-,N,-,-
Company ABC,X1DNX2RS,Residential,01/04/2023,01/04/2024,1,44.15829,-76.74409,K0H2S0,ON,CA,0,0,6363,0,0,0,6363,0,0,0,1000,0,,Y,30,,,44.15829,-76.74409,ON,1,2001,0,-,-,N,-,-,Y,-,-,Y,-,-,N,-,-,N,-,-
Company ABC,MNBCEU9IHC8W,Residential,01/04/2023,01/04/2024,1,44.15829,-76.74409,K0H2S0,ON,CA,0,0,22500,0,0,0,22500,0,0,0,1000,0,,Y,30,,,44.15829,-76.74409,ON,1,2001,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,MNBCEU9IHC8W,Residential,01/04/2023,01/04/2024,1,44.11679,-76.69516,K0H2S0,ON,CA,400000,0,0,0,400000,0,0,0,1000,0,0,0,,Y,30,2,2000,44.11679,-76.69516,ON,2,2000,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,8U2KIG0Q5ASWM,Residential,01/04/2023,01/04/2024,1,44.11679,-76.69516,K0H2S0,ON,CA,30000,0,0,0,30000,0,0,0,1000,0,0,0,,N,30,,2000,44.11679,-76.69516,ON,2,2000,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,8U2KIG0Q5ASWM,Residential,2023-07-20,20/07/2024,1,44.23984,-76.76011,K0H2H0,ON,CA,250000,25000,175000,50000,250000,25000,175000,50000,500,500,500,500,,N,30,0,1880,44.23984,-76.76011,ON,0,1880,1,-,-,Y,-,-,N,-,-,N,-,-,Y,-,-,N,-,-
Company ABC,EUT7K8FKXM6D,Farm,20/07/2023,20/07/2024,1,44.23984,-76.76011,K0H2H0,ON,CA,25000,0,0,0,25000,0,0,0,500,0,0,0,,Y,190,0,,44.23984,-76.76011,ON,0,1880,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,0210004F03,Residential,28/06/2023,28/06/2024,1,44.18741,-76.65426,K0H2S0,ON,CA,500000,50000,350000,100000,500000,50000,350000,100000,-200,2000,2000,2000,,N,30,2,1920,44.18741,-76.65426,ON,2,1920,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,EUT7K8FKXM6D,Farm,28/06/2023,28/06/2024,1,44.18741,-76.65426,K0H2S0,ON,CA,0,0,83000,0,0,0,83000,0,0,0,2000,0,,N,190,,,44.18741,-76.65426,ON,2,1920,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,ZV2QHJHCW66,Farm,28/06/2023,28/06/2024,1,44.18741,-76.65426,K0H2S0,ON,CA,0,0,66000,0,0,0,66000,0,0,0,2000,0,,Y,190,,,44.18741,-76.65426,ON,2,1920,0,-,-,Y,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,H3W03QUT,Farm,28/06/2023,28/06/2024,1,44.18741,-76.65426,K0H2S0,ON,CA,0,0,25000,0,0,0,25000,0,0,0,2000,0,,N,190,,,44.18741,-76.65426,ON,2,1920,0,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
Company ABC,RPNAN8W5H4TJ,Residential,28/06/2023,28/06/2024,1,44.14803,-76.77171,K0H2S0,ON,CA,500000,0,0,0,500000,0,0,0,2000,0,0,0,,N,30,2,1920,44.14803,-76.77171,ON,2,1920,1,-,-,N,-,-,N,-,-,N,-,-,N,-,-,N,-,-
